DATE,STATE,DISTRICT,CITY_TIER,PINCODE_COUNT,DEMO_AGE_5_17,DEMO_AGE_17_PLUS,TOTAL_DEMO_COUNT
2025-04-01,Telangana,Nizamabad,Tier 3,1,244,1293,1537
2025-12-04,Meghalaya,Eastern West Khasi Hills,Tier 3,1,0,3,3
2025-07-01,Gujarat,Narmada,Tier 3,1,158,761,919
2025-12-02,Meghalaya,East Garo Hills,Tier 3,3,0,37,37
2025-11-28,Delhi,South East Delhi,Tier 1,1,0,15,15
2025-10-21,Telangana,Jayashankar Bhupalpally,Tier 3,2,0,6,6
2025-11-09,Arunachal Pradesh,Kurung Kumey,Tier 3,1,1,0,1
2025-10-22,Andaman and Nicobar Islands,Andamans,Tier 3,1,0,1,1
2025-12-14,Arunachal Pradesh,Upper Siang,Tier 3,1,1,0,1
2025-09-13,Nagaland,Chumukedima,Tier 3,2,1,1,2
2025-12-12,Chhattisgarh,Narayanpur,Tier 3,1,16,85,101
2025-10-27,Arunachal Pradesh,Pakke Kessang,Tier 3,1,0,1,1
2025-03-01,Mizoram,Lawngtlai,Tier 3,1,39,461,500
2025-11-04,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,0,17,17
2025-12-01,Nagaland,Peren,Tier 3,2,2,9,11
2025-09-06,Meghalaya,Ri Bhoi,Tier 3,1,7,8,15
2025-10-17,Arunachal Pradesh,Kamle,Tier 3,1,1,3,4
2025-12-16,Jammu and Kashmir,Shopian,Tier 3,1,13,52,65
2025-11-02,Meghalaya,South West Khasi Hills,Tier 3,1,1,1,2
2025-11-17,Madhya Pradesh,Barwani,Tier 3,1,1,7,8
2025-12-28,Nagaland,Tuensang,Tier 3,1,0,2,2
2025-09-02,Mizoram,Hnahthial,Tier 3,1,0,2,2
2025-10-15,Mizoram,Saitual,Tier 3,1,0,1,1
2025-12-21,Bihar,Sheikhpura,Tier 3,1,2,6,8
2025-09-04,Meghalaya,Eastern West Khasi Hills,Tier 3,1,0,2,2
2025-09-06,Rajasthan,Deeg ,Tier 3,1,0,2,2
2025-10-22,Madhya Pradesh,Datia,Tier 3,1,2,0,2
2025-11-26,Arunachal Pradesh,Longding,Tier 3,1,0,6,6
2025-11-10,Arunachal Pradesh,Kurung Kumey,Tier 3,1,4,14,18
2025-11-25,Meghalaya,South Garo Hills,Tier 3,1,2,0,2
2025-12-15,Meghalaya,South Garo Hills,Tier 3,1,8,10,18
2025-12-09,Tamil Nadu,Ariyalur,Tier 3,1,14,12,26
2025-09-09,Manipur,Jiribam,Tier 3,1,0,12,12
