DATE,STATE,DISTRICT,CITY_TIER,PINCODE_COUNT,AGE_0_5,AGE_5_17,AGE_18_GREATER,TOTAL_POPULATION
2025-11-12,Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,Tier 3,2,2,1,0,3
2025-09-01,Himachal Pradesh,Shimla,Tier 2,3,4,0,0,4
2025-04-01,Uttar Pradesh,Shrawasti,Tier 3,1,207,307,11,525
2025-09-21,Odisha,Mayurbhanj,Tier 3,1,1,0,0,1
2025-09-02,Chhattisgarh,Narayanpur,Tier 3,1,3,7,0,10
2025-09-02,Nagaland,Peren,Tier 3,2,6,8,0,14
2025-09-22,Nagaland,Chumukedima,Tier 3,1,0,0,1,1
2025-09-25,Tripura,Sepahijala,Tier 3,3,7,2,0,9
2025-09-03,Jharkhand,Pakur,Tier 3,11,41,26,0,67
2025-09-27,Haryana,Jhajjar,Tier 3,6,8,0,0,8
2025-09-05,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Tier 3,2,3,0,0,3
2025-10-13,Nagaland,Kiphire,Tier 3,1,3,6,1,10
2025-10-16,Gujarat,Botad,Tier 3,3,3,2,0,5
2025-09-07,Madhya Pradesh,Alirajpur,Tier 3,1,2,0,0,2
2025-09-14,Arunachal Pradesh,Longding,Tier 3,1,1,18,0,19
2025-09-15,Mizoram,Mamit,Tier 3,1,1,0,0,1
2025-09-30,Arunachal Pradesh,Kamle,Tier 3,1,0,1,0,1
2025-09-13,Nagaland,Shamator,Tier 3,1,0,1,0,1
2025-09-14,Maharashtra,Jalna,Tier 3,2,1,1,0,2
2025-09-16,Arunachal Pradesh,East Kameng,Tier 3,2,2,2,0,4
2025-09-21,Uttar Pradesh,Balrampur,Tier 3,1,0,1,0,1
2025-07-01,Delhi,South West Delhi,Tier 1,1,468,207,29,704
2025-12-29,Arunachal Pradesh,Lower Siang,Tier 3,1,0,1,0,1
2025-11-12,Delhi,South East Delhi,Tier 1,1,1,0,0,1
2025-10-26,Arunachal Pradesh,East Siang,Tier 3,1,1,0,0,1
2025-10-27,Uttarakhand,Bageshwar,Tier 3,2,2,0,0,2
2025-09-28,Rajasthan,Dausa,Tier 3,1,2,0,0,2
2025-05-01,Bihar,Madhubani,Tier 3,5,874,995,102,1971
2025-07-01,Maharashtra,Thane,Tier 3,7,4036,3165,142,7343
2025-11-05,Nagaland,Longleng,Tier 3,1,0,2,0,2
2025-09-05,Jammu and Kashmir,Kishtwar,Tier 3,3,7,1,0,8
2025-09-23,Telangana,Jogulamba Gadwal,Tier 3,4,13,3,0,16
2025-09-28,Madhya Pradesh,Chhindwara,Tier 3,2,1,1,0,2
2025-09-30,Gujarat,Kheda,Tier 3,2,0,2,0,2
2025-10-24,Manipur,Chandel,Tier 3,2,1,1,0,2
2025-09-26,Arunachal Pradesh,Kurung Kumey,Tier 3,1,0,3,0,3
2025-10-25,Meghalaya,Ri Bhoi,Tier 3,4,8,17,0,25
2025-09-29,Madhya Pradesh,Ashok Nagar,Tier 3,4,2,4,0,6
2025-10-27,Gujarat,Patan,Tier 3,2,0,0,6,6
2025-10-16,Meghalaya,Eastern West Khasi Hills,Tier 3,1,0,9,0,9
2025-10-26,Chhattisgarh,Sarangarh-Bilaigarh,Tier 3,1,1,1,0,2
2025-11-02,Mizoram,Lawngtlai,Tier 3,2,2,1,0,3
2025-11-04,Jharkhand,Bokaro,Tier 3,1,1,0,0,1
2025-11-05,Arunachal Pradesh,Lower Subansiri,Tier 3,1,0,2,0,2
2025-11-18,Arunachal Pradesh,Tawang,Tier 3,2,5,1,0,6
2025-10-30,Arunachal Pradesh,Longding,Tier 3,1,0,3,0,3
2025-11-03,Meghalaya,South West Khasi Hills,Tier 3,3,0,4,23,27
2025-09-25,West Bengal,Jhargram,Tier 3,5,10,0,0,10
2025-09-04,Arunachal Pradesh,Kra Daadi,Tier 3,1,2,1,0,3
2025-10-18,Odisha,Debagarh,Tier 3,5,4,5,0,9
2025-09-30,Uttar Pradesh,Mau,Tier 3,4,0,7,0,7
2025-09-07,Maharashtra,Ratnagiri,Tier 3,2,2,0,0,2
2025-09-08,Arunachal Pradesh,Tawang,Tier 3,1,1,0,0,1
2025-10-21,Uttar Pradesh,Auraiya,Tier 3,1,1,0,0,1
2025-09-30,Manipur,Churachandpur,Tier 3,1,0,5,1,6
2025-11-04,Gujarat,Anand,Tier 2,1,1,0,0,1
2025-11-04,Maharashtra,Jalna,Tier 3,1,1,0,0,1
2025-12-25,Mizoram,Serchhip,Tier 3,1,1,0,0,1
2025-09-20,Bihar,Paschim Champaran,Tier 3,2,1,1,0,2
2025-06-01,Rajasthan,Nagaur,Tier 3,1,554,363,10,927
2025-09-16,Ladakh,Leh,Tier 3,2,4,2,0,6
2025-11-14,Jammu and Kashmir,Doda,Tier 3,3,8,4,0,12
2025-10-20,Andhra Pradesh,NTR,Tier 3,3,3,0,0,3
2025-04-01,Nagaland,Phek,Tier 3,2,157,268,22,447
2025-07-01,Uttar Pradesh,Baghpat,Tier 3,1,118,280,15,413
2025-10-20,Delhi,Central Delhi,Tier 1,2,1,2,0,3
2025-05-01,Uttar Pradesh,Rampur,Tier 3,2,1304,700,27,2031
2025-04-01,Gujarat,Dang,Tier 3,1,85,13,22,120
2025-09-23,Haryana,Ambala,Tier 3,4,4,3,0,7
2025-09-26,Arunachal Pradesh,Lower Subansiri,Tier 3,1,4,1,0,5
2025-10-16,Arunachal Pradesh,Lower Subansiri,Tier 3,1,1,1,0,2
2025-09-16,Bihar,Arwal,Tier 3,7,13,17,0,30
2025-10-21,Assam,Charaideo,Tier 3,2,2,1,0,3
2025-07-01,Rajasthan,Bundi,Tier 3,1,121,85,17,223
2025-09-04,Meghalaya,Eastern West Khasi Hills,Tier 3,1,0,7,0,7
2025-11-04,Chhattisgarh,Balod,Tier 3,2,2,0,0,2
2025-10-26,Tripura,Sepahijala,Tier 3,4,5,2,0,7
2025-11-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Tier 3,2,2,0,0,2
2025-11-03,Nagaland,Phek,Tier 3,1,1,3,0,4
2025-11-07,Meghalaya,East Garo Hills,Tier 3,1,1,0,0,1
2025-11-04,Bihar,Muzaffarpur,Tier 3,3,2,1,0,3
2025-11-04,Chhattisgarh,Surajpur,Tier 3,2,1,1,0,2
2025-10-22,Jammu and Kashmir,Anantnag,Tier 3,1,1,0,0,1
2025-11-11,Meghalaya,West Garo Hills,Tier 3,5,21,12,0,33
2025-12-21,Manipur,Ukhrul,Tier 3,2,3,0,0,3
2025-12-31,Chhattisgarh,Khairagarh Chhuikhadan Gandai,Tier 3,3,5,5,0,10
2025-12-28,Kerala,Idukki,Tier 3,6,5,1,0,6
2025-10-31,Tripura,Unakoti,Tier 3,2,1,1,0,2
2025-11-07,Nagaland,Shamator,Tier 3,1,0,3,2,5
2025-11-13,Arunachal Pradesh,Lower Dibang Valley,Tier 3,1,1,1,0,2
2025-11-04,Meghalaya,West Khasi Hills,Tier 3,1,0,1,0,1
2025-10-23,Rajasthan,Jalore,Tier 3,1,1,0,0,1
2025-09-30,Karnataka,Chitradurga,Tier 3,1,1,0,0,1
2025-11-18,Manipur,Jiribam,Tier 3,2,0,3,0,3
2025-10-23,Telangana,Nizamabad,Tier 3,1,1,0,0,1
2025-09-21,Uttar Pradesh,Chandauli,Tier 3,1,1,0,0,1
